dataset,best_ours,no_defence
CIC-IoT-2023,0.5963921203352579,0.4863401025113441
Edge-IIoT,0.6253499016374808,0.4261873753849598
keystroke,0.7173657174957127,0.3571437042539815
HMOG,0.388346330202774,0.1929605704846515
