param_name,param_value,scenario,seed,test_accuracy,test_macro_f1,test_weighted_f1,test_loss
trust_threshold,0.1,full_system,42,0.7707612668972793,0.6077386571694114,0.7616463756784859,0.5433361326459901
trust_threshold,0.1,full_system,123,0.7545447854566866,0.5374393328492397,0.7356257401972877,0.56120234894415
trust_threshold,0.2,full_system,42,0.7837884252103726,0.6173371326850892,0.7773038679103091,0.5060125079409642
trust_threshold,0.2,full_system,123,0.768749540001472,0.5577126566693451,0.7556628459797045,0.5313096583051872
trust_threshold,0.3,full_system,42,0.7837884252103726,0.6173371326850892,0.7773038679103091,0.5060125079409642
trust_threshold,0.3,full_system,123,0.768749540001472,0.5577126566693451,0.7556628459797045,0.5313096583051872
trust_threshold,0.4,full_system,42,0.7760359166850667,0.6127236224648608,0.7678598137637858,0.5165932834249305
trust_threshold,0.4,full_system,123,0.768749540001472,0.5577126566693451,0.7556628459797045,0.5313096583051872
trust_threshold,0.5,full_system,42,0.7879345452761218,0.6103841081950312,0.7798474602141978,0.5015096105012776
trust_threshold,0.5,full_system,123,0.7346237825372293,0.5227498244132796,0.7174491844738851,0.5829088791251805
trust_threshold,0.6,full_system,42,0.7698290032138564,0.5897185704640502,0.7601599508251016,0.5558636856893308
trust_threshold,0.6,full_system,123,0.73796030519369,0.5271776208238184,0.7228498361385349,0.574569748193212
trust_threshold,0.7,full_system,42,0.7684551409435489,0.5886031546323722,0.7583382553168249,0.5641193954689762
trust_threshold,0.7,full_system,123,0.7763057824881627,0.575165903782201,0.7708759172731254,0.5236973624822422
trust_threshold,0.8,full_system,42,0.765756482912588,0.5913565158040921,0.755591913674915,0.5698836344778384
trust_threshold,0.8,full_system,123,0.7438237530973234,0.5236191008745281,0.7225267855322727,0.5800622017436627
