round,client_id,n_samples,loss_before,loss_after,train_time_sec,is_malicious,raw_trust,smoothed_trust,agg_weight,accepted
0,0,17400,2.120066030765402,0.30462547039163523,0.5718898773193359,True,0.5378955602645874,0.5378955602645874,0.08468381874673646,True
0,1,10838,1.9652774385430096,0.48537458666115807,0.334209680557251,False,0.6752757430076599,0.6752757430076599,0.10631232687029349,True
0,2,26950,2.1703224825284035,0.19676929662975176,0.8341827392578125,False,0.6922293305397034,0.6922293305397034,0.10898142221096574,True
0,3,15290,2.1100097985576385,0.16033627186396918,0.4652986526489258,False,0.6711480021476746,0.6711480021476746,0.10566247421367636,True
0,4,55738,2.0854584660270534,0.46842353477592324,1.7973942756652832,False,0.6826795935630798,0.6826795935630798,0.10747795526505974,True
0,5,10488,2.12746696959553,0.2928039718456254,0.36123061180114746,False,0.6883706450462341,0.6883706450462341,0.10837392840163056,True
0,6,13190,2.114500428728302,0.2514542483736657,0.403872013092041,True,0.5518050193786621,0.5518050193786621,0.08687366042139547,True
0,7,8716,2.0693058410660288,0.19805487491850352,0.2571420669555664,False,0.6605070233345032,0.6605070233345032,0.10398720714015894,True
0,8,12775,2.0887657258841856,0.43176644646724843,0.3900182247161865,False,0.684415340423584,0.684415340423584,0.10775122331816069,True
0,9,18828,2.1015844147043774,0.5873329727315892,0.6106922626495361,True,0.5074841380119324,0.5074841380119324,0.07989598341192257,True
1,0,17400,1.6922356181309142,0.29160055640100063,0.5386478900909424,True,0.5088415145874023,0.5204631328582763,0.08266758652814693,True
1,1,10838,1.4086926126198522,0.4397775129784427,0.3671414852142334,False,0.6708030104637146,0.6725921034812927,0.10683094037292475,True
1,2,26950,1.5202596231648122,0.1885321089929464,0.9144833087921143,False,0.6906605362892151,0.6912880539894104,0.10980050537912976,True
1,3,15290,1.9785066998652028,0.1460662749583149,0.49464988708496094,False,0.6767035722732544,0.6744813442230224,0.10713101729024978,True
1,4,55738,1.4195712469225443,0.4552795178545292,1.8918273448944092,False,0.676034688949585,0.6786926507949829,0.10779991875215005,True
1,5,10488,1.3819779841432491,0.22358630132711543,0.3571586608886719,False,0.6874566674232483,0.6878222584724426,0.1092500169147224,True
1,6,13190,1.792052130142426,0.21875997913706202,0.45174527168273926,True,0.5225249528884888,0.5342369794845581,0.08485535082098039,True
1,7,8716,1.5931574844777885,0.1105496385106975,0.28841233253479004,False,0.66705721616745,0.6644371390342713,0.10553564933981005,True
1,8,12775,1.4921315341359715,0.3968282245003314,0.45418429374694824,False,0.6834044456481934,0.6838088035583496,0.10861254115430587,True
1,9,18828,1.792336525571607,0.5637885645769548,0.6430864334106445,True,0.4750646948814392,0.4880324721336365,0.07751647344757996,True
2,0,17400,1.1328473051115013,0.27858881625635873,0.600226879119873,True,0.5052378177642822,0.5113279438018798,0.08205883801652866,True
2,1,10838,0.9429310241799708,0.4155551407154162,0.37485599517822266,False,0.658833384513855,0.66433687210083,0.1066139890004754,True
2,2,26950,0.7878712399549962,0.18013010063065227,0.8795289993286133,False,0.6857340335845947,0.687955641746521,0.11040437209218536,True
2,3,15290,1.7568320037337828,0.1389645043085649,0.5148770809173584,False,0.6738377809524536,0.6740952062606811,0.10818002420711892,True
2,4,55738,0.8605744333243942,0.4529949919503071,1.9047610759735107,False,0.6645903587341309,0.6702312755584716,0.10755993358339476,True
2,5,10488,0.643724809249424,0.2081681915610733,0.36333155632019043,False,0.676982581615448,0.6813184523582458,0.10933922387273165,True
2,6,13190,1.4844754728428606,0.20370948295687255,0.40474438667297363,True,0.5176753401756287,0.5242999958992004,0.08414061652032277,True
2,7,8716,1.3116082344212736,0.09178464220193082,0.2906534671783447,False,0.6633464097976685,0.6637827014923096,0.1065250546937368,True
2,8,12775,0.9300374093074388,0.3759247017863212,0.41274213790893555,False,0.6756599545478821,0.6789194941520691,0.10895423469849369,True
2,9,18828,1.3804355515070166,0.5492223631254244,0.5541031360626221,True,0.4662581980228424,0.47496790766716007,0.07622371331501195,True
3,0,17400,0.8885646036301537,0.26596280104812536,0.4423787593841553,True,0.506493330001831,0.5065677165985107,0.08227856294381503,True
3,1,10838,0.7834175603155237,0.4061781937487782,0.28403449058532715,False,0.6441836357116699,0.6519586753845215,0.10589348896843878,True
3,2,26950,0.5008908692804028,0.17675848785490628,0.8863809108734131,False,0.6736143827438354,0.6792504835128783,0.11032632327540522,True
3,3,15290,1.613936084185339,0.13402665977660466,0.5012052059173584,False,0.6730954051017761,0.6738508820533753,0.10944930045298688,True
3,4,55738,0.6752546162483634,0.4472589645685936,1.5448403358459473,False,0.6578003168106079,0.6623474264144897,0.10758086753110453,True
3,5,10488,0.37359101880515105,0.19924208280878336,0.3085346221923828,False,0.6516419649124146,0.663454065322876,0.10776061183003288,True
3,6,13190,1.3835650009129243,0.19643162774307607,0.4647672176361084,True,0.5281932950019836,0.5247620511054992,0.08523375264087295,True
3,7,8716,1.2796814465205457,0.08576548098748488,0.24294710159301758,False,0.6575304865837097,0.6604505848884583,0.10727277566148838,True
3,8,12775,0.7098521899057227,0.35925909174865006,0.3779604434967041,False,0.6626681685447693,0.6691040015220642,0.10867829492739829,True
3,9,18828,1.186279811093274,0.5350640197898872,0.5719211101531982,True,0.4618029296398163,0.46499407649040225,0.07552602176845705,True
4,0,17400,0.8237350691598038,0.25705365584499534,0.5345494747161865,True,0.13476355373859406,0.2832545822858811,0.0,False
4,1,10838,0.7363770505580807,0.39940460726088056,0.3235764503479004,False,0.9326738119125366,0.8196217012405396,0.14180665383418353,True
4,2,26950,0.402109852996076,0.17370162596729116,0.8541080951690674,False,0.9491527080535889,0.8408765220642089,0.1454840516071899,True
4,3,15290,1.5514042171487004,0.1323958581348819,0.5166816711425781,False,0.9187886118888855,0.8206301093101502,0.14198112331667093,True
4,4,55738,0.6153262567822132,0.4467612587343509,1.7058019638061523,False,0.9640339612960815,0.8426269102096557,0.14578689459614586,True
4,5,10488,0.3101378630173288,0.19209393478708353,0.279865026473999,False,0.9384222030639648,0.8277646064758301,0.14321549664807887,True
4,6,13190,1.380143075047161,0.19229222724752232,0.3720207214355469,True,0.14615917205810547,0.2972899484634399,0.0,False
4,7,8716,1.3104593490667986,0.0811822985415614,0.22741913795471191,False,0.8777074813842773,0.7905672311782836,0.13677980160196718,True
4,8,12775,0.6367241827429158,0.3545270455793392,0.36571645736694336,False,0.9510343074798584,0.8377665376663208,0.1449459783957638,True
4,9,18828,1.1204875354835733,0.5226014149791753,0.5233509540557861,True,0.09660358726978302,0.24339616715908052,0.0,False
5,0,17400,0.49636537264133324,0.2458278281181708,0.47316837310791016,True,0.09265390038490295,0.11828216814994812,0.0,False
5,1,10838,0.666694103307578,0.38637428947822877,0.2755849361419678,False,0.91466224193573,0.875708441734314,0.14174240829209497,True
5,2,26950,0.5448212466921125,0.17322390434969775,0.816237211227417,False,0.9151877164840698,0.8846875810623169,0.14319577424369045,True
5,3,15290,0.7447444751809983,0.1299150983986315,0.49094200134277344,False,0.9277772307395935,0.8848708701133728,0.14322544145970906,True
5,4,55738,0.5421491650719916,0.44082418977176974,1.7930760383605957,False,0.9615258574485779,0.9135317158699036,0.14786449380591388,True
5,5,10488,0.3400932616127256,0.18504768465649163,0.3531315326690674,False,0.8958486318588257,0.8669932222366332,0.14033176047654009,True
5,6,13190,0.7845682987396784,0.18380168400269914,0.363161563873291,True,0.10025010257959366,0.1258174330294132,0.0,False
5,7,8716,0.7310573860230168,0.0776231081136077,0.2656896114349365,False,0.8912969827651978,0.8506328630447387,0.13768366825558329,True
5,8,12775,0.4402510970959225,0.3388153662723571,0.34901881217956543,False,0.9457806348800659,0.9017435216903686,0.14595645346646827,True
5,9,18828,0.6769307061368198,0.505233769593331,0.49725818634033203,True,0.08149009943008423,0.10217717254161834,0.0,False
6,0,17400,0.48327204652216244,0.237790956346468,0.4457433223724365,True,0.121178537607193,0.05708805135488509,0.0,False
6,1,10838,0.6817746985924378,0.37640267092487784,0.2961423397064209,False,0.9211007356643677,0.9214071893692016,0.1427954568954792,True
