variant,round_idx,val_loss,val_accuracy,val_macro_f1,n_accepted,n_rejected,n_malicious_total,n_malicious_rejected,tau_effective,ema_alpha_effective
static_tau020,0,2.0686677546415195,0.24058854718981973,0.09466794666743487,9,1,3,0,0.2,0.2
static_tau020,1,2.0492745618931436,0.2602067868504772,0.12209337675459325,9,1,3,0,0.2,0.2
static_tau020,2,2.0306168330689123,0.27439024390243905,0.13626467437248713,9,1,3,0,0.2,0.2
static_tau020,3,2.011241269642576,0.28552492046659594,0.1528889167157147,8,2,3,0,0.2,0.2
static_tau020,4,1.9918727935435032,0.27465535524920465,0.14953943715928275,8,2,3,0,0.2,0.2
static_tau020,5,1.972032298212466,0.2717391304347826,0.14788987308874865,8,2,3,0,0.2,0.2
static_tau020,6,1.9513245518867437,0.29878048780487804,0.18795159622025387,8,2,3,0,0.2,0.2
static_tau020,7,1.9292452540149871,0.37553022269353126,0.2623607777464083,8,2,3,0,0.2,0.2
static_tau020,8,1.9056675932187417,0.39819724284199365,0.2816044921032128,8,2,3,0,0.2,0.2
static_tau020,9,1.8799354982022136,0.419406150583245,0.29884241492545255,8,2,3,0,0.2,0.2
static_tau020,10,1.867405839841161,0.5006627783669141,0.33395398696640816,8,2,3,0,0.2,0.2
static_tau020,11,1.854051988425715,0.5205461293743372,0.3321359736340766,8,2,3,0,0.2,0.2
static_tau020,12,1.8366245662167369,0.4700424178154825,0.29238797543455397,7,3,3,1,0.2,0.2
static_tau020,13,1.81819753151304,0.4508218451749735,0.27932033666536377,7,3,3,1,0.2,0.2
static_tau020,14,1.7993117460896075,0.40522269353128315,0.23714257918683318,7,3,3,1,0.2,0.2
static_tau020,15,1.7798921619467871,0.3671792152704136,0.1956152666963511,7,3,3,1,0.2,0.2
static_tau020,16,1.7609156247540472,0.37168610816542946,0.20223926964059136,7,3,3,1,0.2,0.2
static_tau020,17,1.7428012576866756,0.3765906680805938,0.20779679232677276,7,3,3,1,0.2,0.2
static_tau020,18,1.7177977091687102,0.38149522799575825,0.21222825810246138,6,4,3,2,0.2,0.2
static_tau020,19,1.6949924133236056,0.38799045599151644,0.21725975611967424,6,4,3,2,0.2,0.2
static_tau020,20,1.6647972195929712,0.39620890774125134,0.2260568264839383,6,4,3,2,0.2,0.2
static_tau020,21,1.635610109169435,0.3972693531283139,0.22727971341702313,6,4,3,2,0.2,0.2
static_tau020,22,1.6069700012530654,0.3920996818663839,0.2218089825353099,6,4,3,2,0.2,0.2
static_tau020,23,1.5792992147888636,0.38997879109225875,0.22048663555206782,6,4,3,2,0.2,0.2
static_tau020,24,1.551792909332955,0.38878579003181335,0.21991772561358097,6,4,3,2,0.2,0.2
static_tau020,25,1.5238068662544324,0.39899257688229056,0.22809049977025592,6,4,3,2,0.2,0.2
static_tau020,26,1.4946820450233629,0.47136797454931073,0.2813122045808577,6,4,3,2,0.2,0.2
static_tau020,27,1.4655648289151562,0.485949098621421,0.29300936582497683,6,4,3,2,0.2,0.2
static_tau020,28,1.4286229850631504,0.4923117709437964,0.2988948304688559,5,5,3,3,0.2,0.2
static_tau020,29,1.3941236963201302,0.5086161187698833,0.3112612923171065,5,5,3,3,0.2,0.2
static_tau040,0,2.0676840967237,0.24072110286320256,0.09513263920499498,8,2,3,0,0.4,0.2
static_tau040,1,2.0474364603311614,0.26232767762460235,0.12514273748770233,8,2,3,0,0.4,0.2
static_tau040,2,2.027950242367175,0.27637857900318136,0.13802758258807069,8,2,3,0,0.4,0.2
static_tau040,3,2.008617033002738,0.2755832449628844,0.14912850592256505,8,2,3,0,0.4,0.2
static_tau040,4,1.9891958388392266,0.2734623541887593,0.1488059037531008,8,2,3,0,0.4,0.2
static_tau040,5,1.9692460643650997,0.2702810180275716,0.1473146668157172,8,2,3,0,0.4,0.2
static_tau040,6,1.9483759082134808,0.3149522799575822,0.20680780414796918,8,2,3,0,0.4,0.2
static_tau040,7,1.9260642657477176,0.3793743372216331,0.2667142295301819,8,2,3,0,0.4,0.2
static_tau040,8,1.9022153852347479,0.4007158006362672,0.2840722905467229,8,2,3,0,0.4,0.2
static_tau040,9,1.8761278963544084,0.4235153764581124,0.3015693809753907,8,2,3,0,0.4,0.2
static_tau040,10,1.8617668677741623,0.5023860021208908,0.3330528320391717,7,3,3,1,0.4,0.2
static_tau040,11,1.8465866380127212,0.4976139978791092,0.314600103081011,7,3,3,1,0.4,0.2
static_tau040,12,1.8192644008017547,0.4567868504772004,0.28442111177725665,6,4,3,2,0.4,0.2
static_tau040,13,1.7903911149640857,0.41251325556733826,0.2509484320804486,6,4,3,2,0.4,0.2
static_tau040,14,1.7617609422507747,0.3669141039236479,0.20241534970218317,5,5,3,2,0.4,0.2
static_tau040,15,1.7347335734524125,0.35034464475079535,0.1799852903530058,5,5,3,2,0.4,0.2
static_tau040,16,1.711400150367842,0.32754506892895013,0.14845506499495284,5,5,3,2,0.4,0.2
static_tau040,17,1.692730496063718,0.332847295864263,0.15391275690840872,5,5,3,2,0.4,0.2
static_tau040,18,1.6773377759332748,0.3437168610816543,0.16324007057258177,5,5,3,2,0.4,0.2
