variant,test_accuracy,test_macro_f1,test_weighted_f1
static_tau020,0.503711558854719,0.33759838447763957,0.42960557939890515
static_tau040,0.5050371155885471,0.33555476893973446,0.4270050081947841
adaptive,0.5184252386002121,0.33195520993232785,0.4224244453009474
