seed,scenario,round_idx,client_id,n_samples,loss_before,loss_after,train_time_sec,is_malicious,raw_trust,smoothed_trust,agg_weight,accepted
42,fedavg,0,0,17400,2.1200660652949894,0.30470963891895336,0.844280481338501,False,1.0,1.0,0.1,True
42,fedavg,0,1,10838,1.965277447144381,0.4803639202072603,0.5903971195220947,False,1.0,1.0,0.1,True
42,fedavg,0,2,26950,2.1703224902958067,0.1988529355992634,1.2985973358154297,False,1.0,1.0,0.1,True
42,fedavg,0,3,15290,2.110009833985173,0.15987110881340746,0.7399518489837646,False,1.0,1.0,0.1,True
42,fedavg,0,4,55738,2.085458444767942,0.4664052347178916,1.8477210998535156,False,1.0,1.0,0.1,True
42,fedavg,0,5,10488,2.1274669463174387,0.2915444622209834,0.30718159675598145,False,1.0,1.0,0.1,True
42,fedavg,0,6,13190,2.1145004864259596,0.25318064491255343,0.724921703338623,False,1.0,1.0,0.1,True
42,fedavg,0,7,8716,2.069305773337208,0.1959482378139579,0.4459507465362549,False,1.0,1.0,0.1,True
42,fedavg,0,8,12775,2.0887657790734577,0.43078806941989817,0.48592376708984375,False,1.0,1.0,0.1,True
42,fedavg,0,9,18828,2.1015844177941445,0.5825418897411588,0.8699061870574951,False,1.0,1.0,0.1,True
42,fedavg,1,0,17400,0.5675842144023413,0.26465091360026394,0.81357741355896,False,1.0,1.0,0.1,True
42,fedavg,1,1,10838,1.0628659629496202,0.4207499212698647,0.5795674324035645,False,1.0,1.0,0.1,True
42,fedavg,1,2,26950,1.3094196084257845,0.18165452917232583,1.1031227111816406,False,1.0,1.0,0.1,True
42,fedavg,1,3,15290,0.8943870802109658,0.13747353779092344,0.6713573932647705,False,1.0,1.0,0.1,True
42,fedavg,1,4,55738,1.079723781103672,0.45372531473082695,2.328359365463257,False,1.0,1.0,0.1,True
42,fedavg,1,5,10488,0.6729708778139838,0.2084492956473571,0.4688997268676758,False,1.0,1.0,0.1,True
42,fedavg,1,6,13190,0.6652471013553581,0.20204203941769633,0.7169432640075684,False,1.0,1.0,0.1,True
42,fedavg,1,7,8716,0.4527125027733366,0.08719511563321657,0.4685192108154297,False,1.0,1.0,0.1,True
42,fedavg,1,8,12775,0.8557782554626465,0.3729164982821843,0.6895968914031982,False,1.0,1.0,0.1,True
42,fedavg,1,9,18828,0.89589529721783,0.5396574511506741,0.923891544342041,False,1.0,1.0,0.1,True
42,fedavg,2,0,17400,0.4000389039516449,0.24793878567629846,0.9522175788879395,False,1.0,1.0,0.1,True
42,fedavg,2,1,10838,0.8304176549450413,0.39742924936540586,0.5885744094848633,False,1.0,1.0,0.1,True
42,fedavg,2,2,26950,1.0259685337300204,0.17468472372401844,1.4601142406463623,False,1.0,1.0,0.1,True
42,fedavg,2,3,15290,0.4921227219137512,0.13021031120503315,0.755669355392456,False,1.0,1.0,0.1,True
42,fedavg,2,4,55738,0.8110127671443589,0.451872919569009,2.543109893798828,False,1.0,1.0,0.1,True
42,fedavg,2,5,10488,0.508799779356026,0.19567691959287264,0.3745729923248291,False,1.0,1.0,0.1,True
42,fedavg,2,6,13190,0.529697411335084,0.18848979959237566,0.6665463447570801,False,1.0,1.0,0.1,True
42,fedavg,2,7,8716,0.4459586699603073,0.07854710052925931,0.44729113578796387,False,1.0,1.0,0.1,True
42,fedavg,2,8,12775,0.5575660197002313,0.3539684263367476,0.5093584060668945,False,1.0,1.0,0.1,True
42,fedavg,2,9,18828,0.6178928517930594,0.513473785503518,0.8032271862030029,False,1.0,1.0,0.1,True
42,fedavg,3,0,17400,0.3830688573163131,0.2374942817222113,0.7358243465423584,False,1.0,1.0,0.1,True
42,fedavg,3,1,10838,0.7630543846621199,0.38593242615653833,0.4349243640899658,False,1.0,1.0,0.1,True
42,fedavg,3,2,26950,0.8773073269794514,0.17174326334570245,1.1976747512817383,False,1.0,1.0,0.1,True
42,fedavg,3,3,15290,0.46765433198256456,0.127586774643513,0.6047945022583008,False,1.0,1.0,0.1,True
42,fedavg,3,4,55738,0.7086470102574324,0.44418418952605926,1.8287274837493896,False,1.0,1.0,0.1,True
42,fedavg,3,5,10488,0.45348379252340665,0.1873725815800471,0.30450987815856934,False,1.0,1.0,0.1,True
42,fedavg,3,6,13190,0.5216186319995415,0.1816346528066479,0.6215920448303223,False,1.0,1.0,0.1,True
42,fedavg,3,7,8716,0.4511936382177282,0.07541610026358532,0.47797584533691406,False,1.0,1.0,0.1,True
42,fedavg,3,8,12775,0.49305686958615325,0.33871978378342554,0.6967563629150391,False,1.0,1.0,0.1,True
42,fedavg,3,9,18828,0.5727916635321234,0.5000739233722246,0.8408796787261963,False,1.0,1.0,0.1,True
42,fedavg,4,0,17400,0.3622879588878018,0.23454083341291582,0.7221136093139648,False,1.0,1.0,0.1,True
42,fedavg,4,1,10838,0.7488335776777808,0.37564544941495104,0.4469125270843506,False,1.0,1.0,0.1,True
42,fedavg,4,2,26950,0.8303576983857022,0.17189254051347388,1.4836254119873047,False,1.0,1.0,0.1,True
42,fedavg,4,3,15290,0.4536325893034102,0.12704299814448472,0.7106986045837402,False,1.0,1.0,0.1,True
42,fedavg,4,4,55738,0.6817518830461922,0.44102648288014756,2.0431950092315674,False,1.0,1.0,0.1,True
42,fedavg,4,5,10488,0.4519002637864978,0.18465445713515868,0.3101534843444824,False,1.0,1.0,0.1,True
42,fedavg,4,6,13190,0.4927258491335356,0.17878070082557843,0.6754519939422607,False,1.0,1.0,0.1,True
42,fedavg,4,7,8716,0.40963465097082924,0.07512626550047086,0.3913309574127197,False,1.0,1.0,0.1,True
42,fedavg,4,8,12775,0.48622018164151337,0.3310295145175695,0.6856791973114014,False,1.0,1.0,0.1,True
42,fedavg,4,9,18828,0.5440989996765433,0.4937642875157371,0.8195009231567383,False,1.0,1.0,0.1,True
42,fedavg,5,0,17400,0.3603725799746897,0.22906195928310527,0.6867508888244629,False,1.0,1.0,0.1,True
42,fedavg,5,1,10838,0.7392568933741592,0.37023535093646975,0.40660619735717773,False,1.0,1.0,0.1,True
42,fedavg,5,2,26950,0.8188310991810956,0.1712658088547843,1.1449775695800781,False,1.0,1.0,0.1,True
42,fedavg,5,3,15290,0.42879622415672963,0.1255143762658124,0.6213922500610352,False,1.0,1.0,0.1,True
42,fedavg,5,4,55738,0.6659752218154135,0.4372426833799835,2.2104907035827637,False,1.0,1.0,0.1,True
42,fedavg,5,5,10488,0.43632248403187657,0.18000176134089493,0.303361177444458,False,1.0,1.0,0.1,True
42,fedavg,5,6,13190,0.4882670799017495,0.17562918030149202,0.674182653427124,False,1.0,1.0,0.1,True
42,fedavg,5,7,8716,0.4246253782918334,0.07414839024595256,0.32962846755981445,False,1.0,1.0,0.1,True
42,fedavg,5,8,12775,0.465076558645924,0.32416087974074304,0.6830122470855713,False,1.0,1.0,0.1,True
42,fedavg,5,9,18828,0.5311493821108141,0.48179052303823566,0.8749179840087891,False,1.0,1.0,0.1,True
42,fedavg,6,0,17400,0.3528994685068898,0.22606043192847022,0.800912618637085,False,1.0,1.0,0.1,True
42,fedavg,6,1,10838,0.7237745660612737,0.3658349669481208,0.5049302577972412,False,1.0,1.0,0.1,True
42,fedavg,6,2,26950,0.796612648127915,0.17082714416100497,1.110177755355835,False,1.0,1.0,0.1,True
42,fedavg,6,3,15290,0.43317880228191047,0.12546709768030673,0.7050156593322754,False,1.0,1.0,0.1,True
