,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0.1316666666666666,0.1316666666666666,0.1316666666666666,0.1316666666666666,0.1316666666666666,0.1316666666666666,0.1316666666666666,0.1316666666666666,0.1316666666666666,0.1316666666666666,0.1316666666666666,0.1316666666666666,0.13273931424433388,0.1316666666666666,0.13792281569995196,0.13954850156795304,0.1364539106936379,0.134861340702395,0.13468087558423147,0.13818495309205753,0.140959929743839,0.14238549377872795,0.1416825320419276,0.13909609091513173,0.1377228849667399,0.13698520104003398,0.13553558585118727,0.13592574629389984,0.13975311636357682,0.14318148995070545
1,0.4923957344307034,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.45000000000000023,0.4499999999999998,0.4499999999999996,0.4499999999999998,0.4499999999999997,0.44999999999999957,0.45000000000000023,0.4499999999999996,0.44999999999999996,0.4499999999999996,0.4499999999999998,0.44999999999999957,0.4499999999999998,0.4499999999999997,0.4484600451998058,0.4401604786977228,0.45000000000000023,0.4500000000000001,0.4494522416917355,0.44999999999999934,0.45000000000000034,0.43679417720266356,0.4499999999999997,0.4499999999999999,0.44999999999999946
2,0.6382375900693347,0.5120936351010554,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.4499999999999999,0.45000000000000034,0.44999999999999984,0.4499999999999994,0.4499999999999996,0.4499999999999998,0.44425964956535635,0.44999999999999996,0.4160904546253705,0.4151274691316784,0.3711878631120571,0.37578066790584036,0.37577773969845285,0.3889254640261698,0.40511562694727615,0.3762434026919132,0.3954575201286222,0.37202159813395513,0.3661684929993606,0.3880077430331964,0.3467659747032707,0.29354483195599335,0.27385836754324755
3,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.45000000000000023,0.44999999999999946,0.44999999999999973,0.4500000000000001,0.4500000000000001,0.41590191712974267,0.41751487875660237,0.42189191555113165,0.4374295008620232,0.3865849771767533,0.29015415105523623,0.23857818269382697,0.2723716546775922,0.3695949386320674,0.4499999999999999,0.3972602670001313,0.3850157887781501,0.3573237810892641,0.3434562703592243,0.2955741105649405,0.2505361323218885,0.28908874073172053,0.3067069080787373,0.3846687114842388,0.4500000000000002,0.4348436719149792,0.4110455456148348
4,0.7717835232819023,0.7717835232819023,0.7717835232819023,0.7717835232819023,0.7717835232819023,0.769325008316111,0.7656448741174269,0.74697738279424,0.6428140750797835,0.7046045741006469,0.6573564443900891,0.7717835232819023,0.6866945797406683,0.6227684200008815,0.6375077213583594,0.6515141952977287,0.641035534165127,0.7652598282012263,0.7163377050636992,0.7083259210047523,0.623702708799606,0.7376512911849921,0.6398180511544487,0.6806188589283728,0.6303961940387104,0.7717835232819023,0.6227684200008815,0.6915935983959212,0.653455048697666,0.7717835232819023
5,0.6114458775939472,0.5891593901344417,0.44999999999999996,0.4499999999999998,0.4499999999999999,0.4500000000000003,0.44999999999999996,0.45,0.4499999999999996,0.4499999999999999,0.4499999999999997,0.4500000000000003,0.4500000000000004,0.4499999999999996,0.4500000000000001,0.44999999999999984,0.44999999999999996,0.4236507558519707,0.38155176999197243,0.39480421058182635,0.4454655033778568,0.43417238425359694,0.4335652672750679,0.4434291660130598,0.44999999999999973,0.44999999999999996,0.3661920602660838,0.34212844503746237,0.3606481629349739,0.3644253608447358
6,0.1316666666666666,0.1316666666666666,0.1316666666666666,0.1316666666666666,0.1316666666666666,0.1316666666666666,0.1316666666666666,0.1318151698334638,0.13531974265010183,0.13555783347419542,0.13542392663791158,0.1399460688200031,0.13674165722032317,0.1410793926457558,0.139254272120707,0.14230797718259083,0.13964411197090248,0.14192133881620345,0.14097100282519506,0.14707743126887152,0.14522880960053883,0.14789530343204554,0.14410687747620662,0.14168538565661906,0.13735412569051164,0.13699051858620406,0.13717452356759696,0.14282256923261946,0.1458065962045609,0.15416180309769825
7,0.44999999999999996,0.4500000000000001,0.44999999999999973,0.44999999999999996,0.4499999999999996,0.44999999999999973,0.4286431645123633,0.3977131521284303,0.3478807907214973,0.3718714276767099,0.3603701890542784,0.3032092713172945,0.3307264592094009,0.3610809465204558,0.4095751665384482,0.37048928404634546,0.36150206373648947,0.3262131643737423,0.24547387470883367,0.20318915865587714,0.20464100804510077,0.16450339539371148,0.2137941616465816,0.30965107602968633,0.39859950280710904,0.45000000000000023,0.4061496541896767,0.2956870437585537,0.1808607293707906,0.14294294561603244
8,0.6179234897685578,0.6684860882792443,0.5385541321439303,0.484105085570863,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.4500000000000002,0.4500000000000002,0.4500000000000002,0.4499999999999998,0.4500000000000001,0.44999999999999957,0.4499999999999995,0.44999999999999984,0.4499999999999997,0.4500000000000001,0.44999999999999996,0.45000000000000046,0.4500000000000001,0.45,0.44999999999999946,0.4500000000000005,0.45000000000000023,0.4499999999999996,0.4499999999999995,0.44999999999999934
9,0.1316666666666666,0.1316666666666666,0.1316666666666666,0.1316666666666666,0.1316666666666666,0.1316666666666666,0.1316666666666666,0.1316666666666666,0.1316666666666666,0.1316666666666666,0.1316666666666666,0.1316666666666666,0.1316666666666666,0.1316666666666666,0.1316666666666666,0.1316666666666666,0.1316666666666666,0.1316666666666666,0.1316666666666666,0.1316666666666666,0.1316666666666666,0.1316666666666666,0.1316666666666666,0.1316666666666666,0.13326508506186965,0.13172638843468326,0.1316666666666666,0.1316666666666666,0.1317458201006501,0.13221288235226905
