accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,loss,epoch,train_loss
0.7442522362682044,0.598099463330998,0.7400519039500564,0.6734473809119184,0.586686029396837,0.5991067024118718,0,0.8430565782622536
0.7567457677238116,0.6109765434638685,0.7509030441886628,0.666084987101387,0.6008646080760095,0.5638709774371252,1,0.612617781764682
0.7638426850003697,0.616570280537734,0.7567181703504887,0.6723779393887364,0.6079350295389487,0.5495895427479098,2,0.5859896489832661
0.7699785613957271,0.6191341836095694,0.76283916189501,0.6842715223905618,0.6100095468664353,0.5395055435145695,3,0.5738887756111598
0.7706438973904044,0.6212448537170397,0.7632090021487463,0.6820024003560851,0.6125295135716751,0.5354683738489096,4,0.5641647990944362
0.7732682782582982,0.6241461972820372,0.7683483772157265,0.6749625846273641,0.6136008181578254,0.529251171954413,5,0.5588649324747595
0.7762622902343461,0.6238968381103576,0.770504698847316,0.6842209025145873,0.6138461589215747,0.5250789523609393,6,0.5533279976108286
0.7783322244400088,0.628509838414657,0.7715330058250021,0.7056845330874274,0.617389152810768,0.522499662585275,7,0.548599988131948
0.7783322244400088,0.6278976174764689,0.7718063279802716,0.6937034724157103,0.6175594484032727,0.5199133581884986,8,0.5464695864904044
0.7804021586456716,0.6285111933573415,0.7736641490300523,0.6875072060736389,0.6192929532858273,0.5199301144302468,9,0.5421288787785143
0.7789975604346862,0.632414854103653,0.7752616964242972,0.6726943348608441,0.620987986479079,0.5193685375243797,10,0.5398993986677415
0.7779625933318548,0.6301752594581692,0.772812539149859,0.6800674517810885,0.6194011358791645,0.5154646885247878,11,0.5377970311377308
0.7806978635321948,0.6343798576584416,0.7770719788661143,0.675936036706829,0.6224647613537162,0.5150302117932104,12,0.5359948696915466
0.778517039994086,0.6314003045111871,0.7742453602147705,0.6705636437142936,0.6208086515622144,0.5137884050195688,13,0.534267763831828
0.7804760848673025,0.6311331163968786,0.7743946685396293,0.6832764667184728,0.6213340337413971,0.5103186091783086,14,0.5325089286020487
0.7802912693132255,0.6323853281269153,0.7755080359221099,0.6739232244073865,0.6221458117627952,0.5106192971135998,15,0.5317670554727612
0.7801803799807792,0.6320628807653564,0.774007255349436,0.6851112742583304,0.6220643918630855,0.5098923940990632,16,0.5300286498211398
0.7821394248539957,0.6319914654183749,0.7755519625486694,0.6888714794547031,0.6223926903790324,0.5088211762329652,17,0.5268109661989873
0.7809566053079027,0.630498958899328,0.7753161928140412,0.6728834511900342,0.6216358284101752,0.5073524244416621,18,0.5272253466530602
0.7821024617431803,0.6320517343967634,0.7757113025478453,0.6873688769881385,0.6223496051322654,0.5077489589370521,19,0.5259760878997274
