seed,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,loss,epoch,train_loss
123,0.7740431795878312,0.6056291487021155,0.7656828697978213,0.6998623088214355,0.5907354696041421,0.5197528678137842,0,0.6491297979560997
123,0.7849362119725221,0.6226630990639193,0.7809942362096237,0.6643264442567738,0.6094733467572321,0.5002462549930232,1,0.5305372362791432
123,0.7846418056918547,0.6168033511152289,0.7780920190619215,0.7181407802572658,0.6021754801302269,0.49053379167401406,2,0.5160035289867526
123,0.7853778213935231,0.6207761020165712,0.7815327722263151,0.6893032852059389,0.6039437402692801,0.48858564637009133,3,0.5071014375862201
123,0.7892541707556427,0.6267686083336894,0.7832929428131225,0.6750214908420462,0.6141206023182801,0.4790027180410578,4,0.5005987684702323
123,0.7866290480863591,0.619162678241191,0.7783097325800346,0.7224552652190962,0.6056583496219903,0.4790132689171848,5,0.49732392890981547
123,0.7877576054955839,0.6205765903095871,0.7803646641015078,0.7140598522570025,0.608311710110321,0.4765912753209048,6,0.49435046207758604
123,0.7893523061825319,0.6236173021735677,0.7856235898427106,0.7028709963672383,0.6066569539293638,0.4750432876422197,7,0.49296768813024744
123,0.792198233562316,0.6224856551627355,0.78514776405464,0.7213438565884909,0.6083938277203166,0.4713185700630884,8,0.490562203610273
123,0.7917075564278705,0.622912726227573,0.7848441018398895,0.7192270241767953,0.6102043463784709,0.47148325417530784,9,0.48847380677502805
123,0.791928361138371,0.6245159708994716,0.7852534047389321,0.7067287373764426,0.6097418940662154,0.4717899490970391,10,0.4879783778519563
123,0.7897203140333661,0.6219563862238311,0.7828616555003914,0.7048903405603614,0.6091976670809776,0.4715188008646268,11,0.48606994914179275
123,0.7916830225711482,0.6250368579049886,0.7855206182610217,0.7154174221383933,0.6133776211746431,0.47002635502838647,12,0.4848693069412235
123,0.7926643768400392,0.6256858578723561,0.7853844578433619,0.7065094739422817,0.6132924452215847,0.4685647322455379,13,0.485169207022338
123,0.7935721295387635,0.6228557234999121,0.7901912660549164,0.8452075723839947,0.6073323698279995,0.4704363792052564,14,0.48253722011613387
123,0.7914622178606477,0.6254130773852229,0.7838760212083334,0.8501386980707275,0.6098186379250357,0.4689273298898085,15,0.48114922680216704
123,0.797791952894995,0.6337400611117308,0.794229708018948,0.842565046957654,0.6174781074650193,0.4657455317054576,16,0.4813289641625797
123,0.796099116781158,0.6311578309039629,0.7912952336759363,0.8368407537415133,0.6159320937122531,0.465403563374977,17,0.4804362861808926
123,0.7970314033366045,0.6323708279041704,0.7935406066343538,0.8336008934509629,0.6149739429844143,0.4638786046380969,18,0.47991168728699535
123,0.7984298331697743,0.6362712651065481,0.795245378005692,0.8233977729262546,0.6190679164874686,0.4665292299998754,19,0.47923874474437644
123,0.794774288518155,0.630395195415155,0.7885725237928677,0.8382349896757249,0.6149010744713888,0.4639063819233873,20,0.4786649693095651
123,0.7961236506378803,0.6312594292679803,0.7901903723960724,0.8416657872832535,0.6148855276366052,0.4639877484052993,21,0.47895301568502696
123,0.7950932286555447,0.6299812695996856,0.7883805996184674,0.8378725786861783,0.6140117762803571,0.465514257728644,22,0.4777955041939653
123,0.7973258096172718,0.6314566415687304,0.7916331893409977,0.8430259188493276,0.6148138689434207,0.46247001400873633,23,0.4772832853126847
123,0.7971786064769382,0.630212429709548,0.7910712935524864,0.8528882046975722,0.615097393382041,0.46221415451394215,24,0.47771554683421336
123,0.7994847890088322,0.6349655427496357,0.7957820664695014,0.8408442036321909,0.6181513375588488,0.4631070385035402,25,0.4757171044063863
123,0.7986506378802748,0.6316375619155692,0.795077427582003,0.8449661368727243,0.615225781121501,0.4607271668019543,26,0.47762173856871126
123,0.7973994111874386,0.6314187743176847,0.791978543517152,0.8512276989510843,0.6141708975320634,0.4617456550336095,27,0.4752644318853326
123,0.7993130520117763,0.6324686935060688,0.7946069606667507,0.8430303702113037,0.6163897505666922,0.4590902341593704,28,0.4753572599027168
123,0.796712463199215,0.6326000670602003,0.7908190328301319,0.8422961362791453,0.6170816542035378,0.4609297006474159,29,0.47432224675081147
