seed,scenario,aggregation_method,use_he,use_fuzzy,use_zt,round_idx,train_loss_avg,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,n_accepted,n_rejected,n_malicious_total,n_malicious_rejected,time_local_train_sec,time_encrypt_sec,time_aggregate_sec,time_decrypt_sec,time_fuzzy_sec,time_total_sec,he_ciphertext_bytes
42,fedavg,fedavg,False,False,False,0,0.3364206142365328,0.9400480620409486,0.556378802747792,0.3354522195980062,0.4615559832666089,10,0,0,0,11.456223011016846,0.0,0.0001595020294189453,0.0,0.0,11.891558647155762,0
42,fedavg,fedavg,False,False,False,1,0.28685146166953335,0.6936759731603441,0.6888125613346419,0.49453548134269754,0.663623797916597,10,0,0,0,12.096498012542725,0.0,0.00012922286987304688,0.0,0.0,12.442611455917358,0
42,fedavg,fedavg,False,False,False,2,0.27322920210945384,0.6222981221776481,0.720829244357213,0.5511473024859095,0.705124944158547,10,0,0,0,12.50359582901001,0.0,0.00013327598571777344,0.0,0.0,12.78279423713684,0
42,fedavg,fedavg,False,False,False,3,0.2650157977199955,0.5959699726198325,0.7345191364082434,0.5677587197892324,0.7224929897316622,10,0,0,0,11.115010976791382,0.0,0.0001308917999267578,0.0,0.0,11.41186261177063,0
42,fedavg,fedavg,False,False,False,4,0.26135035298604875,0.5835729889125656,0.7419528949950932,0.5755621846371406,0.7303749387974205,10,0,0,0,11.666595220565796,0.0,0.0001270771026611328,0.0,0.0,11.958865880966187,0
42,fedavg,fedavg,False,False,False,5,0.2569050913387473,0.5728164852542896,0.7450441609421001,0.5798345839381933,0.7347890518159582,10,0,0,0,11.187618732452393,0.0,0.0001232624053955078,0.0,0.0,11.44981837272644,0
42,fedavg,fedavg,False,False,False,6,0.2543183160130491,0.5696694715685184,0.7438174681059863,0.5803555632639346,0.7328678220969704,10,0,0,0,11.189896821975708,0.0,0.00012683868408203125,0.0,0.0,11.505488872528076,0
42,fedavg,fedavg,False,False,False,7,0.25278271076930287,0.5619060572510963,0.7450932286555446,0.5840602968680173,0.7351315024781511,10,0,0,0,11.65080738067627,0.0,0.00011992454528808594,0.0,0.0,11.99030613899231,0
42,fedavg,fedavg,False,False,False,8,0.2501146848757937,0.5560745134437868,0.7495093228655545,0.5867523374276167,0.7393746589762865,10,0,0,0,11.477861404418945,0.0,0.000118255615234375,0.0,0.0,11.761959075927734,0
42,fedavg,fedavg,False,False,False,9,0.24931202071078012,0.5548990461145463,0.748135426889107,0.5860364646018175,0.7372114118863738,10,0,0,0,11.812052488327026,0.0,0.00012755393981933594,0.0,0.0,12.131705045700073,0
42,fedavg,fedavg,False,False,False,10,0.2459507918212558,0.5500059447882805,0.7497546614327772,0.58679601126081,0.7393137576096027,10,0,0,0,12.495495557785034,0.0,0.0001266002655029297,0.0,0.0,12.967965126037598,0
42,fedavg,fedavg,False,False,False,11,0.245550578371205,0.5445138349149365,0.7526496565260059,0.5887306077306833,0.7427587847742662,10,0,0,0,13.17549204826355,0.0,0.00012683868408203125,0.0,0.0,13.49395227432251,0
42,fedavg,fedavg,False,False,False,12,0.2452065310790487,0.5439461480647004,0.7522816486751718,0.5880612317387831,0.742281890027497,10,0,0,0,13.184325218200684,0.0,0.0001289844512939453,0.0,0.0,13.476390838623047,0
42,fedavg,fedavg,False,False,False,13,0.2446103823952644,0.5375457861004681,0.7585377821393523,0.5949256089533905,0.7498436190071164,10,0,0,0,12.760707378387451,0.0,0.00012159347534179688,0.0,0.0,13.045725345611572,0
42,fedavg,fedavg,False,False,False,14,0.2439566479274659,0.5369611655881992,0.7574828263002944,0.594153636042553,0.7485637182424949,10,0,0,0,12.758850812911987,0.0,0.0001285076141357422,0.0,0.0,13.075000762939453,0
42,fedavg,fedavg,False,False,False,15,0.2422956027478234,0.5378251731805175,0.7569676153091266,0.5922888674757282,0.7477264258159784,10,0,0,0,10.995153665542603,0.0,0.00011682510375976562,0.0,0.0,11.30671739578247,0
