attack,scenario,seed,test_loss,test_accuracy,test_macro_f1,test_weighted_f1
sign_flip,fedavg_attack,42,0.8999921018612116,0.6912980545128923,0.5272832273893642,0.6568449999686634
sign_flip,fedmedian,42,0.6887128298429028,0.7300115306297686,0.5738350748637007,0.7120632767692255
sign_flip,krum,42,0.6859557001891552,0.7268467407570962,0.5711993484374567,0.7125526887194867
sign_flip,bulyan,42,0.7805672376015064,0.6969161698682564,0.544512597812834,0.6732190097914084
sign_flip,foolsgold,42,0.6452330801760184,0.7429405559235543,0.5832545188089622,0.7312227818660205
sign_flip,full_system,42,0.5165932834249305,0.7760359166850667,0.6127236224648608,0.7678598137637858
sign_flip,full_system_neuro,42,0.4934272169964472,0.7859228183803145,0.6204619841756085,0.7794798203275909
sign_flip,fedavg_attack,123,0.7098395020813016,0.7071465371310812,0.4656318074355056,0.6644732269894591
sign_flip,fedmedian,123,0.6125812780862643,0.7414440273791124,0.5239094646195505,0.7201159253581408
sign_flip,krum,123,0.588934436829073,0.7575133092907436,0.5460505071445664,0.7404361269770487
sign_flip,bulyan,123,0.6133046691958919,0.7643580873874537,0.5571807164893827,0.750277781417212
sign_flip,foolsgold,123,2.726313223323727,0.6142391011015431,0.3767190568364627,0.5384282924809697
sign_flip,full_system,123,0.516722553193559,0.7771644464071048,0.5660972390980803,0.7658766852144621
sign_flip,full_system_neuro,123,0.5140442342251171,0.7780721768357008,0.5679417469316128,0.7675039020536791
sign_flip,fedavg_attack,2024,0.7610230741011629,0.6945855106596992,0.5311747259637027,0.6495695721393983
sign_flip,fedmedian,2024,0.8703121777614479,0.6688255930914354,0.4840489102618477,0.6039509449943868
sign_flip,krum,2024,1.4356556394957036,0.6152940310591006,0.3822884698156434,0.5339840687830916
sign_flip,bulyan,2024,1.11407743827251,0.6532960427859964,0.4501073516839431,0.5800919380049139
sign_flip,foolsgold,2024,0.7643903726357034,0.6917641863546037,0.5250678305065757,0.6447891570561917
sign_flip,full_system,2024,0.531642686308508,0.765462083854665,0.5939901995021059,0.7537271951226585
sign_flip,full_system_neuro,2024,0.5297731494199323,0.7525330585608793,0.589716566053651,0.7428604788400298
ipm,fedavg_attack,42,0.5072482935372316,0.7793233728318736,0.6115200790199573,0.772655760359706
ipm,fedmedian,42,0.6444351414533807,0.7166163734942714,0.5682626040241617,0.7120812594347025
ipm,krum,42,0.9883705903391108,0.5908589092514904,0.4001892278184884,0.5438941714841352
ipm,bulyan,42,0.810839942877287,0.6734869115085499,0.5090999599669991,0.6552567345361557
ipm,foolsgold,42,0.5067294280752052,0.7827825617624691,0.6194862497371528,0.776237902516476
ipm,full_system,42,0.5153516752235976,0.7796177718897966,0.6111333278214897,0.7718494310175876
ipm,full_system_neuro,42,0.4992589666291193,0.7835921591717573,0.6191222670627612,0.7776495452780599
ipm,fedavg_attack,123,0.5298558967462866,0.7728956600672211,0.5610697798633049,0.759976292361245
ipm,fedmedian,123,0.5471255120238824,0.7561394470204362,0.5763858574663234,0.7461328132857844
ipm,krum,123,0.7652897835596718,0.6977993670420255,0.4575581747814897,0.6533288548004147
ipm,bulyan,123,0.6948141547848089,0.7160275753784254,0.5201648728712239,0.6983998938142898
ipm,foolsgold,123,0.5166024856415772,0.7756924511174897,0.5644305749518048,0.7635991187821982
ipm,full_system,123,0.5151283273706024,0.7766983145653934,0.5662429786886715,0.7656021082049864
ipm,full_system_neuro,123,0.5141729469642781,0.779814037928412,0.5695854498725517,0.7695945605497639
ipm,fedavg_attack,2024,0.5422842064548623,0.7333235200314026,0.5679742682493072,0.7137005877002415
ipm,fedmedian,2024,0.8198383481318693,0.6437771399131523,0.4448775457455067,0.5774661332010104
ipm,krum,2024,1.809353547178024,0.4987610706312406,0.274414487150694,0.3873497915782563
ipm,bulyan,2024,1.1498491234775965,0.6181153553641962,0.4032805302216121,0.5394310863744828
ipm,foolsgold,2024,0.5306483415411924,0.7438482863521504,0.580183091002191,0.72894975861616
ipm,full_system,2024,0.5292691373283439,0.7576605088197051,0.5887899101829863,0.7496138000896364
ipm,full_system_neuro,2024,0.525010512284069,0.7542994529084174,0.5931651404939831,0.7452962907915217
alie,fedavg_attack,42,0.5035421301690897,0.7838129584651996,0.6196307368949974,0.7768879995051645
alie,fedmedian,42,0.5130096523144251,0.7795932386349697,0.6154001730609193,0.7726635151295459
alie,krum,42,0.5437243881744057,0.7709084664262408,0.5946435760868354,0.7624199997625494
alie,bulyan,42,0.5223629998902233,0.7749564534726823,0.6037616157218245,0.7664964862413085
alie,foolsgold,42,0.5067054383733264,0.7799612374573734,0.6125784177594525,0.7731292145580939
alie,full_system,42,0.5151553328180392,0.7758396506464512,0.6096965269169743,0.7673807336094628
alie,full_system_neuro,42,0.4975695306941684,0.7859228183803145,0.6212298917519403,0.779726840183212
alie,fedavg_attack,123,0.5162876741489739,0.7767719143298741,0.5650906517453602,0.7647774412941203
alie,fedmedian,123,0.5247413075791179,0.7718652633644906,0.5606844472031838,0.7581046034421587
alie,krum,123,0.5371724623306726,0.7671548784377223,0.5644509148732593,0.7612645209937282
alie,bulyan,123,0.5290698046328752,0.7690684723142219,0.5619679537277218,0.7586704832466756
alie,foolsgold,123,0.5319530430627623,0.7682343416501067,0.5596682853045196,0.7539930085672213
alie,full_system,123,0.5180507502779637,0.7764529820171242,0.5649375182979035,0.7646222478077157
alie,full_system_neuro,123,0.5147958826010923,0.7777777777777778,0.5737842135366591,0.7673710200121587
alie,fedavg_attack,2024,0.5286464674784395,0.7394568337381321,0.5775130832267846,0.7215831308739463
alie,fedmedian,2024,0.5497004256591588,0.7193150315252325,0.5528725890019759,0.6891468863671414
alie,krum,2024,0.6266410964086477,0.6893599273815657,0.5012742865489797,0.6472768062850566
alie,bulyan,2024,0.6169612816483779,0.7019945536174285,0.5306304913255455,0.6605278628668111
alie,foolsgold,2024,0.5331086044365804,0.7396040332670936,0.5746022861323504,0.7223118036984643
alie,full_system,2024,0.5021545068751092,0.773239125634798,0.6086626697872054,0.7667314113995546
alie,full_system_neuro,2024,0.5294240431803015,0.7485096047692648,0.5877515838767995,0.7368927043087243
min_max,fedavg_attack,42,0.5636791849635873,0.7548146512597826,0.5914158744975456,0.7451742384102268
min_max,fedmedian,42,0.6153214677551574,0.7400456318539781,0.5820589935311474,0.7328029755373975
min_max,krum,42,0.6635544277326021,0.6490027231912858,0.5000891821545878,0.6357723857446095
min_max,bulyan,42,0.6611758505133201,0.6875199332695469,0.5375335373262244,0.6782723627057211
min_max,foolsgold,42,0.4998691340125211,0.7872230808861411,0.6180919930711883,0.7807330576893036
min_max,full_system,42,0.5778905175472189,0.7671058119280685,0.599821992201509,0.7575305594343084
min_max,full_system_neuro,42,0.507473375369053,0.7815068325114694,0.618526534933487,0.7757088591605144
min_max,fedavg_attack,123,0.5459951869299852,0.7625916930399156,0.548888354835185,0.746755237476801
min_max,fedmedian,123,0.575023632124898,0.7395795000122666,0.5239033099000681,0.7189870365386963
min_max,krum,123,0.5692878248284398,0.7473810750472265,0.5398168858260286,0.7345852860143581
min_max,bulyan,123,0.5520980706559656,0.7610215647309928,0.5511076164321135,0.7466853306153886
min_max,foolsgold,123,0.5169589852494764,0.7755697848433551,0.5643540771613667,0.7633748643287107
min_max,full_system,123,0.5610192599467015,0.7495154682171684,0.5353880949427592,0.7315742035028601
min_max,full_system_neuro,123,0.5198734802199675,0.7732881921444518,0.579820003597588,0.7609705741661751
min_max,fedavg_attack,2024,0.5767200414099299,0.7029022840460244,0.5261763722037822,0.6662227150975352
min_max,fedmedian,2024,0.6072937372589992,0.6679914624273202,0.4966853114490636,0.6234783431199428
min_max,krum,2024,0.751849516021653,0.6537376413728809,0.4575206177582223,0.5872998538736856
min_max,bulyan,2024,0.6946639140546417,0.6611221510757832,0.4603349237443431,0.5996162861637532
min_max,foolsgold,2024,0.5306483415411924,0.7438482863521504,0.580183091002191,0.72894975861616
min_max,full_system,2024,0.6000558011756029,0.6952233752851991,0.5218440592025371,0.6707971069230397
min_max,full_system_neuro,2024,0.5050410253400731,0.7723804617158558,0.6059997009940605,0.7620825289560411
min_sum,fedavg_attack,42,0.5559253729593795,0.7625180932754348,0.6000167703779832,0.7520997596304202
min_sum,fedmedian,42,0.6006761822633001,0.7456882804641691,0.5835912097709695,0.737429859109281
min_sum,krum,42,0.6644673615950679,0.6558965677976497,0.5078917802018769,0.6444047601957528
min_sum,bulyan,42,0.6569359278831558,0.6852628738254705,0.5358040065926393,0.6749572220454029
min_sum,foolsgold,42,0.5060801151464961,0.7826844287431614,0.6167559319307039,0.7758754800754554
min_sum,full_system,42,0.5640114335748709,0.7684796741983759,0.598182260321231,0.7593994375265637
min_sum,full_system_neuro,42,0.5066729614590233,0.7810652339245848,0.6174914988268527,0.7748006771053952
min_sum,fedavg_attack,123,0.5420323595068662,0.7655111503643188,0.551237989913316,0.7500196006916017
min_sum,fedmedian,123,0.581642102775219,0.7450749490934963,0.5264956992119747,0.7234000741231595
min_sum,krum,123,0.563380000243895,0.7525085253060524,0.5449351099932238,0.739955646815574
min_sum,bulyan,123,0.5566461054512125,0.7523858590319178,0.5426756313659555,0.7364007111355819
min_sum,foolsgold,123,0.5165873125781518,0.7764529820171242,0.5652653323101338,0.7644614233732406
min_sum,full_system,123,0.5572174290136022,0.7575869090552244,0.542317876864584,0.7396703230741218
min_sum,full_system_neuro,123,0.5221178492749656,0.77441672186649,0.5636732665337969,0.7615606563468904
min_sum,fedavg_attack,2024,0.5847595526301087,0.6971124359068718,0.5197589052602909,0.6585305065005523
min_sum,fedmedian,2024,0.6134071386596562,0.6709354530065503,0.5008265336869181,0.6273376111198733
