scenario,sign_flip,ipm,alie,min_max,min_sum
fedavg_attack,0.5080299202628575,0.5801880423775231,0.5874114906223807,0.5554935338455044,0.5570045551838634
fedmedian,0.5272644832483663,0.5298420024119973,0.5763190697553596,0.5342158716267597,0.5369711475566207
krum,0.4998461084658888,0.3773872965835574,0.5534562591696914,0.4991422285796128,0.497917966778678
bulyan,0.5172668886620533,0.47751512101994503,0.5654533535916973,0.5163253591675604,0.5154938659489309
foolsgold,0.49501380205066686,0.5880333052303829,0.5822829963987742,0.5875430537449153,0.5874014517476762
full_system,0.5909370203550156,0.5887220722310492,0.5944322383340278,0.5523513821156018,0.562122136616745
full_system_neuro,0.5927067657202908,0.5939576191430986,0.5942552297217997,0.6014487465083785,0.5954637731169593
